Date,AAL,AAPL,ALGT,ALK,AMZN,BCS,BHC,CS,DAL,DB,FB,GOOG,GS,HA,IBM,JNJ,LUV,MRK,MS,MSFT,PFE,RHHBY,SP500,UNH,WFC
18-05-2012,10.06,18.942142,62.310001,16.17,213.850006,10.285714,47.029999,19.169922,10.14,34.370228,38.23,299.078979,95.489998,5.28,195.880005,63.349998,8.15,37.82,13.35,29.27,22.57,20.16,1295.219971,53.990002,30.940001
21-05-2012,10.71,20.045713,62.66,16.379999,218.110001,10.672812,47.189999,19.541016,10.58,35.505726,34.029999,305.908386,96.510002,5.32,197.759995,63.470001,8.34,37.599998,13.19,29.75,22.540001,20.389999,1315.98999,55.549999,31.4
22-05-2012,10.62,19.891787,62.349998,16.225,215.330002,10.857142,47.779999,19.863281,10.54,35.410305,31,299.278229,97.529999,5.23,196.820007,63.52,8.27,37.459999,13.31,29.76,22.370001,20.43,1316.630005,55.720001,31.67
23-05-2012,11,20.377142,62.990002,16.115,217.279999,10.737328,46.650002,19.765625,10.74,35.38168,32,303.592072,98.040001,5.38,196.119995,63.27,8.36,37.34,13.37,29.110001,22.09,20.075001,1318.859985,55.360001,31.74
24-05-2012,12.16,20.190001,64.25,16.92,215.240005,10.746544,48.040001,19.658203,11.27,34.828243,33.029999,300.702881,96.860001,5.68,196.089996,63.099998,8.74,37.599998,13.31,29.07,22.139999,19.855,1320.680054,56.220001,31.809999
25-05-2012,12.3,20.081785,64.040001,16.98,212.889999,10.534562,48.48,19.306641,11.37,35,31.91,294.660553,96.699997,5.68,194.300003,62.509998,8.76,37.549999,13.25,29.059999,22.129999,19.905001,1317.819946,56.119999,31.860001
29-05-2012,12.62,20.438213,63.900002,17.065001,214.75,10.654378,48.400002,19.296875,11.8,34.980915,28.84,296.060303,97.860001,5.68,196.460007,62.59,8.94,37.59,13.64,29.559999,22.18,19.924999,1332.420044,56.150002,32.25
30-05-2012,12.69,20.684643,63.900002,16.809999,209.229996,10.29493,47.919998,18.886719,11.75,34.017174,28.190001,293.016693,94.610001,5.57,194.529999,62.209999,8.87,37.400002,13.09,29.34,22.040001,19.584999,1313.319946,56.169998,31.700001
31-05-2012,13.22,20.633215,64.849998,17.15,212.910004,10.184332,48.66,18.681641,12.1,34.332062,29.6,289.345459,95.699997,5.78,192.899994,62.43,9.03,37.580002,13.36,29.190001,21.870001,19.584999,1310.329956,55.77,32.049999
01-06-2012,12.64,20.035357,64,16.905001,208.220001,9.870968,47,18.535156,11.51,31.87977,27.719999,284.42392,92.639999,5.64,189.080002,61.779999,8.95,37.18,12.73,28.450001,21.639999,19.469999,1278.040039,55.040001,30.16
04-06-2012,11.18,20.153214,62.259998,16.18,214.570007,9.9447,46.509998,18.691406,10.18,32.700382,26.9,288.214691,91,5.49,188.539993,62.34,8.6,37.459999,12.36,28.549999,21.610001,19.43,1278.180054,54.91,30.049999
05-06-2012,11.62,20.101072,62.419998,16.315001,213.210007,10.101382,47.48,18.720703,10.58,32.709923,25.870001,284.139984,92.209999,5.6,189.199997,62.209999,8.66,37.5,12.86,28.51,21.6,19.5,1285.5,56.040001,30.52
06-06-2012,11.78,20.409286,63.459999,16.735001,217.639999,10.912442,48.279999,19.736328,10.61,34.236641,26.809999,289.200989,94.959999,5.76,193.990005,62.799999,8.8,37.900002,13.94,29.35,21.91,20.1,1315.130005,57.700001,30.969999
07-06-2012,11.28,20.418571,63.330002,16.9,218.800003,11.069124,48.560001,20.058594,10.28,34.188931,26.309999,288.03537,94,5.95,194.440002,62.799999,8.86,38.330002,13.41,29.23,21.940001,20.120001,1314.98999,57.450001,31.18
08-06-2012,12.15,20.725714,65.699997,17.365,218.479996,10.995392,48.52,19.814453,10.38,34.341602,27.1,289.141235,94.540001,5.92,195.139999,62.98,9.06,38.459999,13.71,29.65,22.139999,20.059999,1325.660034,58,31.43
11-06-2012,11.36,20.398928,65.040001,17.285,216.5,10.764977,46.41,19.335938,10.17,33.339695,27.01,283.188538,92.800003,5.88,192.509995,62.119999,8.98,38.470001,13.37,28.9,22.1,19.969999,1308.930054,57.459999,30.99
