Date,Close,Abbv,Industry
01-10-2010,9.29,AAL,Aviation
04-10-2010,9.12,AAL,Aviation
05-10-2010,9.23,AAL,Aviation
06-10-2010,9.23,AAL,Aviation
07-10-2010,9.24,AAL,Aviation
08-10-2010,9.07,AAL,Aviation
11-10-2010,9,AAL,Aviation
12-10-2010,9.55,AAL,Aviation
13-10-2010,9.8,AAL,Aviation
14-10-2010,9.78,AAL,Aviation
15-10-2010,9.7,AAL,Aviation
18-10-2010,10.12,AAL,Aviation
19-10-2010,10.09,AAL,Aviation
20-10-2010,10.84,AAL,Aviation
21-10-2010,10.75,AAL,Aviation
22-10-2010,10.81,AAL,Aviation
25-10-2010,11.58,AAL,Aviation
26-10-2010,11.73,AAL,Aviation
27-10-2010,12,AAL,Aviation
28-10-2010,11.88,AAL,Aviation
29-10-2010,11.79,AAL,Aviation
01-11-2010,11.66,AAL,Aviation
02-11-2010,11.92,AAL,Aviation
03-11-2010,12.07,AAL,Aviation
04-11-2010,11.56,AAL,Aviation
05-11-2010,11.57,AAL,Aviation
08-11-2010,11.23,AAL,Aviation
09-11-2010,10.99,AAL,Aviation
10-11-2010,10.78,AAL,Aviation
11-11-2010,10.82,AAL,Aviation
12-11-2010,10.63,AAL,Aviation
15-11-2010,10.71,AAL,Aviation
16-11-2010,10.69,AAL,Aviation
17-11-2010,10.7,AAL,Aviation
18-11-2010,11.02,AAL,Aviation
19-11-2010,11.08,AAL,Aviation
22-11-2010,11.18,AAL,Aviation
23-11-2010,11.1,AAL,Aviation
24-11-2010,11.74,AAL,Aviation
26-11-2010,11.7,AAL,Aviation
29-11-2010,11.28,AAL,Aviation
30-11-2010,11.16,AAL,Aviation
01-12-2010,11.26,AAL,Aviation
02-12-2010,11.11,AAL,Aviation
03-12-2010,11.04,AAL,Aviation
06-12-2010,11.15,AAL,Aviation
07-12-2010,10.55,AAL,Aviation
08-12-2010,10.97,AAL,Aviation
09-12-2010,10.91,AAL,Aviation
10-12-2010,10.93,AAL,Aviation
13-12-2010,10.51,AAL,Aviation
14-12-2010,10.53,AAL,Aviation
15-12-2010,10.14,AAL,Aviation
16-12-2010,10.13,AAL,Aviation
17-12-2010,10.06,AAL,Aviation
20-12-2010,10.18,AAL,Aviation
21-12-2010,10.52,AAL,Aviation
22-12-2010,10.32,AAL,Aviation
23-12-2010,9.91,AAL,Aviation
27-12-2010,9.87,AAL,Aviation
28-12-2010,9.89,AAL,Aviation
29-12-2010,10.14,AAL,Aviation
30-12-2010,10.13,AAL,Aviation
31-12-2010,10.01,AAL,Aviation
03-01-2011,10.65,AAL,Aviation
04-01-2011,10.62,AAL,Aviation
05-01-2011,11.1,AAL,Aviation
06-01-2011,11.24,AAL,Aviation
07-01-2011,11.4,AAL,Aviation
10-01-2011,11.47,AAL,Aviation
11-01-2011,10.97,AAL,Aviation
12-01-2011,10.88,AAL,Aviation
13-01-2011,10.89,AAL,Aviation
14-01-2011,10.79,AAL,Aviation
18-01-2011,10.12,AAL,Aviation
19-01-2011,10.03,AAL,Aviation
20-01-2011,10.25,AAL,Aviation
21-01-2011,9.83,AAL,Aviation
24-01-2011,10.1,AAL,Aviation
25-01-2011,10.13,AAL,Aviation
26-01-2011,10.8,AAL,Aviation
27-01-2011,11.05,AAL,Aviation
28-01-2011,10.16,AAL,Aviation
31-01-2011,9.92,AAL,Aviation
01-02-2011,9.91,AAL,Aviation
02-02-2011,9.52,AAL,Aviation
03-02-2011,9.59,AAL,Aviation
04-02-2011,9.24,AAL,Aviation
07-02-2011,9.72,AAL,Aviation
08-02-2011,9.88,AAL,Aviation
09-02-2011,9.88,AAL,Aviation
10-02-2011,9.85,AAL,Aviation
11-02-2011,10.13,AAL,Aviation
14-02-2011,9.97,AAL,Aviation
15-02-2011,10.08,AAL,Aviation
16-02-2011,10.1,AAL,Aviation
17-02-2011,9.92,AAL,Aviation
18-02-2011,9.72,AAL,Aviation
22-02-2011,9.17,AAL,Aviation
23-02-2011,8.49,AAL,Aviation
