,Stationarity,Order,RMSE,MAPE,R2,Noise,Predictions Mean,Actual Mean,Model,Result
BOM524715,Stationary,"(0, 1, 1)",15.880053562109277,0.4944237732301256,-23.622305141993007,0.2450626469935345,32.776819259946,23.898785180601884,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F299CF40>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F299C5E0>
BOM532488,Stationary,"(1, 1, 3)",1866.1873444637054,1.3556779373228212,-62.89132646390602,11.535534624661734,-511.64087822085617,1135.271146928369,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F2CC8D90>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F2CC8A90>
BOM500124,Non-Stationary,"(1, 1, 0)",318.98510631554734,0.8738560819124065,-48.9389236566067,1.3670771626889342,24.449605931404825,310.8216083092408,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F2CB8370>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3905850>
BOM500180,Non-Stationary,"(0, 1, 0)",148.64040849533188,0.28358778039370913,-1.6660587158514533,2.154347395552986,341.8367269248259,474.62988953277795,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3AD5C10>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3AD5E20>
BOM532174,Non-Stationary,"(2, 1, 1)",89.95829713941718,0.2656366899383687,-1.2929394037617787,2.6706127900865915,294.9955055034382,253.28486537418775,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3B27DC0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3B3E580>
BOM500247,Non-Stationary,"(1, 1, 2)",222.6642085952073,0.1924236506508796,-0.7464489206236147,1.9132086241626203,847.2036484317729,898.6878859159065,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3E3FB80>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3E3FDC0>
BOM500470,Non-Stationary,"(2, 1, 2)",82.32042530754889,0.2234097638545642,0.4559945950640856,2.831076045742766,390.1952895917055,319.48856943998294,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3BA8AF0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3BBAFA0>
BOM500228,Non-Stationary,"(0, 1, 0)",7424.625231484871,0.9354529845934045,-19.627062290093775,75.42697031098706,10664.47669800207,5122.0971074380195,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3D6CDF0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3B63070>
BOM500440,Non-Stationary,"(0, 1, 0)",23.84553784072659,1.0832374701096577,-8.24650428693323,0.4142285392734504,-0.04208602804729053,23.029191616766475,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3C318E0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3C38A90>
BOM532977,Non-Stationary,"(1, 1, 2)",1082.6964918128574,1.2990425035657127,-88.29943195572646,7.410341460333046,-237.87699919827278,675.0404380524164,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3C93E20>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3C932E0>
BOM500570,Non-Stationary,"(2, 1, 2)",177.70833636111115,1.3826589100960245,-15.273068548942366,3.2549477126985726,157.98865823380297,87.02514730639726,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3CE3A90>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3CF5B20>
BOM532500,Non-Stationary,"(2, 1, 2)",631.4658568761112,0.19573555488617453,-0.9734318720296442,8.772761196784897,3063.895493401193,3007.590061331715,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3DB9670>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3CD5AF0>
BOM500209,Stationary,"(3, 1, 2)",27.897477954242554,1.8933900407732152,-106.11274754417396,0.3497213738550413,28.99686819746444,10.634957296542664,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3E6FE50>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3E6FF40>
BOM532540,Non-Stationary,"(2, 1, 2)",157.5611057989705,0.5477526190459261,-11.472541261093877,1.153520009073322,97.83171604737886,234.66990438609793,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3E961C0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3EA0E20>
BOM507685,Stationary,"(5, 1, 3)",60.195238747294525,7.457441720921357,-1463.0206085120092,0.4262396089623085,52.641950239448754,5.386713761966389,<statsmodels.tsa.arima_model.ARIMA object at 0x00000244F3EF5FA0>,<statsmodels.tsa.arima_model.ARIMAResultsWrapper object at 0x00000244F3EF5A90>
