,Stationarity,Order,RMSE,MAPE,R2,Noise,Predictions Mean,Actual Mean,Model,Result
BOM524715,Stationary,"(1, 0, 2)",2.2591324725950495,1.8924837037354534,0.12277094128502075,0.2525121010892518,0.29385166583265093,0.20573864798210306,<statsmodels.tsa.arima_model.ARMA object at 0x000002440595CAF0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x000002440595CFD0>
BOM532488,Stationary,"(3, 0, 1)",2.4392261928389187,7.215318909662233,-0.06053813055973323,0.24049010941226256,-0.6908502613092206,0.22024935679929103,<statsmodels.tsa.arima_model.ARMA object at 0x00000244081CFB50>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x000002441507ABB0>
BOM500124,Stationary,"(0, 0, 0)",2.4187993166510147,4.370765441457689,-0.15538402366667503,0.2836696630071164,-0.7768185827582382,0.18088231861858162,<statsmodels.tsa.arima_model.ARMA object at 0x00000244081F0FD0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244081F0DF0>
BOM500180,Stationary,"(1, 0, 1)",2.522644806083754,1.31286125567215,0.09434113165179092,0.200157469611651,-0.05202521087971326,0.12566854955618048,<statsmodels.tsa.arima_model.ARMA object at 0x0000024407F00D30>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x0000024407F00A60>
BOM532174,Stationary,,,,,,,,,
BOM500247,Stationary,"(0, 0, 1)",2.760790646011581,1.710730607537975,0.10238225115420863,0.31741797133540006,-0.30308298151151786,0.0901047802483421,<statsmodels.tsa.arima_model.ARMA object at 0x0000024407F00DC0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x0000024407ECC130>
BOM500470,Stationary,"(2, 0, 2)",2.995680932982582,2.055541611558598,0.06495937139139629,0.43923899879958217,0.44060937954277934,0.3173045225208098,<statsmodels.tsa.arima_model.ARMA object at 0x00000244087A0550>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244087A0250>
BOM500228,Stationary,"(0, 0, 0)",20.752063195135904,19.55235369718928,-43.580746272530824,4.0015341977482075,6.328366493509965,0.2887804435159547,<statsmodels.tsa.arima_model.ARMA object at 0x0000024407E7CEE0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x0000024407E7CDF0>
BOM500440,Stationary,"(2, 0, 2)",3.490935303329947,2.408929244015026,0.09294134496288808,0.3439238899932089,0.27871224308484366,0.36871118873150094,<statsmodels.tsa.arima_model.ARMA object at 0x00000244149F2DF0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244149F2220>
BOM532977,Stationary,"(0, 0, 1)",2.5292586240591364,3.0930264328250865,-0.07884967528076237,0.3008409551856209,-0.6626320424058546,0.13360405849851478,<statsmodels.tsa.arima_model.ARMA object at 0x0000024405953040>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x0000024405953160>
BOM500570,Stationary,,,,,,,,,
BOM532500,Stationary,"(2, 0, 2)",2.850121201277868,1.5028559527951484,0.06519638669059646,0.20018983793030917,-0.007392167181540843,0.09442729096548874,<statsmodels.tsa.arima_model.ARMA object at 0x0000024407F0EE50>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x0000024407F0E1F0>
BOM500209,Stationary,"(2, 0, 2)",2.38061891820106,1.8881966918610213,0.08796613242255924,0.35100537624485817,0.5152389107982749,0.2625434450539418,<statsmodels.tsa.arima_model.ARMA object at 0x0000024408829CD0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x0000024408829640>
BOM532540,Stationary,"(1, 0, 2)",2.093319087260182,2.967325968147999,0.09052066722457497,0.297356359312958,-0.256926667409412,0.19537820730039165,<statsmodels.tsa.arima_model.ARMA object at 0x00000244088CD340>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x00000244088CDD30>
BOM507685,Stationary,"(2, 0, 2)",2.4690806481828402,13339790271801.78,0.045452213173436395,0.2804966402508612,0.8249744690230459,0.2712256591466293,<statsmodels.tsa.arima_model.ARMA object at 0x0000024407EB7FA0>,<statsmodels.tsa.arima_model.ARMAResultsWrapper object at 0x0000024407EB7D90>
