,p Closing Values,d Closing Values,q Closing Values,p N Closing Values,d N Closing Values,q N Closing Values,p Closing Percentage,d Closing Percentage,q Closing Percentage
BOM524715,0,1,1,0,1,1,1,0,2
BOM532488,1,1,3,1,1,3,3,0,1
BOM500124,2,1,2,1,1,0,0,0,0
BOM500180,0,1,0,0,1,0,1,0,1
BOM532174,2,1,1,2,1,1,2,0,4
BOM500247,1,1,2,1,1,2,0,0,1
BOM500470,2,1,2,2,1,2,2,0,2
BOM500228,0,1,0,0,1,0,0,0,0
BOM500440,0,1,0,0,1,0,2,0,2
BOM532977,1,1,2,1,1,2,0,0,1
BOM500570,2,1,2,2,1,2,3,0,4
BOM532500,2,1,2,2,1,2,2,0,2
BOM500209,2,1,2,2,1,2,2,0,2
BOM532540,2,1,2,2,1,2,1,0,2
BOM507685,5,1,3,2,1,4,2,0,2
