,StockName,MAPE,RMSE,AdjustedR2,Noise,Model
BOM524715,SUN PHARMACEUTICAL INDUSTRIES LTD. ,0.0155,10.5983,0.9787,9.113,<neuralprophet.forecaster.NeuralProphet object at 0x000002514E4A6550>
BOM532488,DIVI'S LABORATORIES LTD. ,0.0187,29.5128,0.9877,33.247,<neuralprophet.forecaster.NeuralProphet object at 0x000002515CA20EB0>
BOM500124,DR.REDDY'S LABORATORIES LTD. ,0.0152,55.1612,0.9835,36.5861,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C682190>
BOM500180,HDFC Bank Ltd ,0.0175,32.4495,0.9877,16.6535,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C682640>
BOM532174,ICICI BANK LTD. ,0.0453,11.8193,0.9545,9.7729,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C6827C0>
BOM500247,KOTAK MAHINDRA BANK LTD. ,0.0144,12.3302,0.9874,19.0695,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C6BB3D0>
BOM500470,TATA STEEL LTD. ,0.0174,8.6826,0.995,7.2737,<neuralprophet.forecaster.NeuralProphet object at 0x000002515CA265B0>
BOM500228,JSW Steel,0.0176,8.6472,-0.0194,9.4563,
BOM500440,HINDALCO INDUSTRIES LTD. ,0.0324,5.2413,0.9857,6.3115,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C6AD7C0>
BOM532977,BAJAJ AUTO LTD. ,0.0116,33.0318,0.9911,30.3466,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C6A1B50>
BOM500570,TATA MOTORS LTD. ,0.0271,6.1013,0.9946,4.5803,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C682A30>
BOM532500,MARUTI SUZUKI INDIA LTD. ,0.0178,103.1968,0.9766,56.4242,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C6A1CA0>
BOM500209,INFOSYS LTD. ,0.0969,63.755,0.8574,28.2333,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C6A1850>
BOM532540,TATA CONSULTANCY SERVICES LTD. ,0.0119,60.024,0.9932,27.6411,<neuralprophet.forecaster.NeuralProphet object at 0x000002515C48BC70>
BOM507685,WIPRO LTD. ,0.063,25.4644,0.9346,13.9105,<neuralprophet.forecaster.NeuralProphet object at 0x000002515BC8B250>
