,StockName,MAPE,RMSE,AdjustedR2,Noise,,,Model
BOM524715,SUN PHARMACEUTICAL INDUSTRIES LTD. ,0.0153,9.3498,0.9811,6.4419,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514E4B0BE0>
BOM532488,DIVI'S LABORATORIES LTD. ,0.0123,19.7743,0.9934,32.3231,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514D9C5970>
BOM500124,DR.REDDY'S LABORATORIES LTD. ,0.0114,40.8844,0.9884,39.957,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514D82D9A0>
BOM500180,HDFC Bank Ltd ,0.0157,31.7734,0.9903,13.9856,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514D9C5BB0>
BOM532174,ICICI BANK LTD. ,0.0411,10.0553,0.9639,6.7089,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514D9C5340>
BOM500247,KOTAK MAHINDRA BANK LTD. ,0.0141,12.3535,0.9885,20.1718,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514D9C50A0>
BOM500470,TATA STEEL LTD. ,0.0159,7.9675,0.9959,6.5768,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514D9C5100>
BOM500228,JSW STEEL LTD,0.0165,9.6424,0.9855,6.6441,,,
BOM500440,HINDALCO INDUSTRIES LTD. ,0.0193,3.5526,0.9947,3.2645,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514D9C5E80>
BOM532977,BAJAJ AUTO LTD. ,0.0137,35.8524,0.9896,27.884,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514E4D70D0>
BOM500570,TATA MOTORS LTD. ,0.0275,6.0087,0.9956,2.8715,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514DA033D0>
BOM532500,MARUTI SUZUKI INDIA LTD. ,0.0144,91.5731,0.9832,61.0956,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514D9C5FD0>
BOM500209,INFOSYS LTD. ,0.0662,36.4678,0.9335,12.0405,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514DA03730>
BOM532540,TATA CONSULTANCY SERVICES LTD. ,0.0137,60.809,0.9917,19.4541,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514F52F760>
BOM507685,WIPRO LTD. ,0.0495,12.9502,0.974,4.9226,,,<neuralprophet.forecaster.NeuralProphet object at 0x000002514F52FA60>
