,StockName,MAE,MAPE,RMSE,AdjustedR2,Noise,Model
BOM524715,SUN PHARMACEUTICAL INDUSTRIES LTD. ,60.48753691681418,0.13466456309773545,66.42494643218728,-0.38703135231683894,0.504895841158482,<statsmodels.tsa.statespace.varmax.VARMAXResultsWrapper object at 0x7fb3fc5d2b90>
BOM532488,DIVI'S LABORATORIES LTD. ,1650.4342266108292,1.2894586832392125,1761.4702308189062,-422.5734679027629,7.368260772044782,<statsmodels.tsa.statespace.varmax.VARMAXResultsWrapper object at 0x7fb406ed6650>
BOM500124,,,,,,,
BOM500180,HDFC Bank Ltd ,192.4284417053597,0.15193814646194692,213.45398716322504,-24.99517589649069,0.38375637651092565,<statsmodels.tsa.statespace.varmax.VARMAXResultsWrapper object at 0x7fb3fc18cc90>
BOM532174,,,,,,,
BOM500247,KOTAK MAHINDRA BANK LTD. ,916.9562204332719,1.7848951567571427,961.525711124284,-1002.4120993837336,1.5510201692848975,<statsmodels.tsa.statespace.varmax.VARMAXResultsWrapper object at 0x7fb3fc3125d0>
BOM500470,,,,,,,
BOM500228,,,,,,,
BOM500440,,,,,,,
BOM532977,,,,,,,
BOM500570,TATA MOTORS LTD. ,268.00201347638097,0.6325505358657775,279.429966496371,-4683.652270634127,0.20860778374453331,<statsmodels.tsa.statespace.varmax.VARMAXResultsWrapper object at 0x7fb3fc53fc50>
BOM532500,,,,,,,
BOM500209,INFOSYS LTD. ,524.3560077187695,0.3483092211496577,541.3742796676202,-1.3173608442182356,3.2621675973837796,<statsmodels.tsa.statespace.varmax.VARMAXResultsWrapper object at 0x7fb3fb876e50>
BOM532540,,,,,,,
BOM507685,,,,,,,
