Stock Name,Stock Code,ADF test statistic,p-value,# lags used,#observations,critical value (1%),critical value (5%),critical value (10%),Result
SUN PHARMACEUTICAL INDUSTRIES LTD. EOD Prices,BOM524715,-5.025754864162953,1.9730642239291177e-05,0.0,5253.0,-3.4315954784667735,-2.8620903726378546,-2.567062963019618,Stationary
DIVI'S LABORATORIES LTD. EOD Prices,BOM532488,-3.571372702359819,0.00633250394740345,32.0,4424.0,-3.431829000533984,-2.8621935395791693,-2.5671178831251695,Stationary
DR.REDDY'S LABORATORIES LTD. EOD Prices,BOM500124,-0.08172555151917534,0.9512285921248761,28.0,5226.0,-3.4316019163653446,-2.862093216924214,-2.5670644771344784,Non-Stationary
HDFC Bank Ltd EOD Prices,BOM500180,-2.2239588705079303,0.1976649571939148,0.0,5254.0,-3.4315952412974227,-2.8620902678554794,-2.56706290724025,Non-Stationary
ICICI BANK LTD. EOD Prices,BOM532174,-2.6589444041797394,0.08141607418754887,1.0,5252.0,-3.4315957157264836,-2.8620904774601432,-2.567063018820234,Non-Stationary
KOTAK MAHINDRA BANK LTD. EOD Prices,BOM500247,-0.7127103044393508,0.8434297558302265,11.0,5242.0,-3.431598093304773,-2.8620915278832735,-2.567063577997744,Non-Stationary
TATA STEEL LTD. EOD Prices,BOM500470,-2.4083970693366803,0.13938041062044287,9.0,5245.0,-3.4315973790788816,-2.8620912123356463,-2.5670634100205287,Non-Stationary
JSW STEEL LTD. EOD Prices,BOM500228,-2.317657172934206,0.1663364034263402,8.0,5224.0,-3.431602395895336,-2.862093428782014,-2.5670645899139677,Non-Stationary
HINDALCO INDUSTRIES LTD. EOD Prices,BOM500440,-2.300991772770759,0.1716483045779656,0.0,5253.0,-3.4315954784667735,-2.8620903726378546,-2.567062963019618,Non-Stationary
BAJAJ AUTO LTD. EOD Prices,BOM532977,-1.9326612193533377,0.31685562455803706,0.0,3150.0,-3.4324276625061048,-2.862457983543574,-2.5672586640463595,Non-Stationary
TATA MOTORS LTD. EOD Prices,BOM500570,-2.351607070402978,0.15586314136737894,22.0,5231.0,-3.4316007191453948,-2.862092687988671,-2.567064195563184,Non-Stationary
MARUTI SUZUKI INDIA LTD. EOD Prices,BOM532500,-0.6386497650466538,0.8620074673911171,27.0,4348.0,-3.4318548677155576,-2.8622049668580947,-2.5671239664314993,Non-Stationary
INFOSYS LTD. EOD Prices,BOM500209,-4.8923456365548414,3.6090732660779134e-05,32.0,5222.0,-3.431602875792823,-2.862093640802141,-2.567064702779875,Stationary
TATA CONSULTANCY SERVICES LTD. EOD Prices,BOM532540,-1.5359616449792195,0.5156526027756799,0.0,4087.0,-3.4319510305663132,-2.8622474476057733,-2.567146581184536,Non-Stationary
WIPRO LTD. EOD Prices,BOM507685,-11.795598570256802,9.596059768558181e-22,33.0,5221.0,-3.4316031158795095,-2.862093746873135,-2.5670647592452664,Stationary
