Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Date,Request Time,Drop Date,Drop Time,Request hour,Time Slot,Availability
619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,2016-07-11,11:51:00,2016-07-11,13:00:00,11,Late Morning,Y
867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,2016-07-11,17:57:00,2016-07-11,18:47:00,17,Evening,Y
1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,2016-07-12,09:17:00,2016-07-12,09:58:00,9,Late Morning,Y
2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,2016-07-12,21:08:00,2016-07-12,22:03:00,21,Night,Y
3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,2016-07-13,08:33:16,2016-07-13,09:25:47,8,Morning,Y
3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,2016-07-13,21:57:28,2016-07-13,22:28:59,21,Night,Y
4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,2016-07-14,06:15:32,2016-07-14,07:13:15,6,Morning,Y
5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,2016-07-15,05:11:52,2016-07-15,06:07:52,5,Morning,Y
6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,2016-07-15,17:57:27,2016-07-15,18:50:51,17,Evening,Y
267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,2016-07-11,06:46:00,2016-07-11,07:25:00,6,Morning,Y
1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,2016-07-12,05:08:00,2016-07-12,06:02:00,5,Morning,Y
1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,2016-07-12,12:30:00,2016-07-12,12:57:00,12,Afternoon,Y
2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,2016-07-13,04:49:20,2016-07-13,05:23:03,4,Early Morning,Y
3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,2016-07-13,08:02:53,2016-07-13,09:16:19,8,Morning,Y
3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,2016-07-13,14:23:02,2016-07-13,15:35:18,14,Afternoon,Y
3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,2016-07-13,17:23:18,2016-07-13,18:20:51,17,Evening,Y
4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,2016-07-14,12:01:02,2016-07-14,12:36:46,12,Afternoon,Y
5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,2016-07-14,22:24:13,2016-07-14,23:18:52,22,Night,Y
535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,2016-07-11,10:00:00,2016-07-11,10:31:00,10,Late Morning,Y
960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,2016-07-11,18:45:00,2016-07-11,19:23:00,18,Evening,Y
1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,2016-07-12,11:17:00,2016-07-12,12:23:00,11,Late Morning,Y
2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,2016-07-12,15:46:00,2016-07-12,16:40:00,15,Afternoon,Y
